contributors	truncated	text	in_reply_to_status_id	id	source	retweeted	coordinates	in_reply_to_screen_name	id_str	retweet_count	in_reply_to_user_id	favorited	geo	in_reply_to_user_id_str	possibly_sensitive	screen_name	created_at	in_reply_to_status_id_str	place
False	None	False	PVV-hater Timmermans wil PVV aan banden leggen. Totalitaire neigingen zijn hem dus niet vreemd. Foute man, mag nooit Minister worden.	Thu Oct 11 09:22:39 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	256323918648995841	None	231	None	256323918648995841	None
None	False	"Ouderen uitgeknepen": 50 euro voor een ommetje, 120 euro voor de was. Schandelijk, spoeddebat aangevraagd door PVV.  http://t.co/qbOGnozN	None	254084360456785920	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	254084360456785920	277	None	False	None	None	False	geertwilderspvv	Fri Oct 05 05:03:26 +0000 2012	None	None
False	None	False	Paars 3 slaat keihard toe: BTW-verhoging blijft, verzekeringen fors duurder en AOW-leeftijd sneller omhoog.  #paarsdrieplundert	Mon Oct 01 14:50:42 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	252782597455896576	None	434	None	252782597455896576	None
False	None	False	Nog geen visum Australie. Wacht al meer dan 1 maand. Reis uitgesteld tot febr 2013. Dan heb ik of visum of tijd om weigering aan te vechten	Mon Oct 01 07:09:51 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	252666620311396352	None	63	None	252666620311396352	None
None	False	En hier de inspirator/veroorzaker van al die ellende.....   (gemaakt door Bosch Fawstin) http://t.co/HIwiHDzO	None	252413004333867009	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	252413004333867009	305	None	False	None	None	False	geertwilderspvv	Sun Sep 30 14:22:04 +0000 2012	None	None
None	False	Moslims steken boeddhistische tempels in de fik in Bangladesh. Waanzin. Islam is vrede? Islam is pure haat en geweld. http://t.co/rhJ8Y2V1	None	252383749575151616	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	252383749575151616	604	None	False	None	None	False	geertwilderspvv	Sun Sep 30 12:25:49 +0000 2012	None	None
False	None	False	Dat belooft weinig goeds: min. van immigratie/asiel verdwijnt en min. van ontwikkelingshulp komt terug. Afrika kan blij zijn met PvdA-VVD.	Thu Sep 27 09:03:11 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	251245591441580032	None	390	None	251245591441580032	None
None	False	Mijn spreektekst bij het debat vanmiddag over de verkiezingsuitslag is hier te lezen: http://t.co/PsJHxBi6	None	248810750779482112	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	248810750779482112	86	None	False	None	None	False	geertwilderspvv	Thu Sep 20 15:48:00 +0000 2012	None	None
None	False	Voorzitter Europees Parlement Schulz verklaart vrijheid van meningsuiting dood. Wat een lafaard. Aftreden en opstappen. http://t.co/vztbKxDR	None	248536743366774784	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	248536743366774784	330	None	False	None	None	False	geertwilderspvv	Wed Sep 19 21:39:11 +0000 2012	None	None
False	None	False	Wat was het een geweldige show van Lady Gaga vanavond in Ziggo Dome inclusief mijn favouriete nummer Alejandro! #veelleukerdanprinsjesdag	Tue Sep 18 21:33:32 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	248172930759012352	None	1859	None	248172930759012352	None
